INFO  - 2015-03-27 10:10:09.535; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439277, 2439278, 2439279, 243928, 2439280, 2439281, 2439282, 2439283, 2439284, 2439285, ... (100 adds)]} 0 62
INFO  - 2015-03-27 10:10:09.562; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439375, 2439379, 243938, 2439381, 2439383, 2439386, 2439388, 243939, 2439390, 2439391, ... (100 adds)]} 0 69
INFO  - 2015-03-27 10:10:09.597; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439490, 2439491, 2439492, 2439493, 2439494, 2439495, 2439496, 2439497, 2439498, 2439499, ... (100 adds)]} 0 60
INFO  - 2015-03-27 10:10:09.630; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439587, 2439588, 2439589, 243959, 2439590, 2439592, 2439593, 2439594, 2439595, 2439596, ... (100 adds)]} 0 66
INFO  - 2015-03-27 10:10:09.668; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439701, 2439703, 2439704, 2439705, 2439706, 2439707, 2439708, 2439709, 243971, 2439710, ... (100 adds)]} 0 69
INFO  - 2015-03-27 10:10:09.704; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439819, 243982, 2439820, 2439821, 2439822, 2439825, 2439827, 2439828, 2439829, 243983, ... (100 adds)]} 0 71
INFO  - 2015-03-27 10:10:09.761; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2439932, 2439933, 2439935, 2439936, 2439937, 2439939, 243994, 2439941, 2439942, 2439943, ... (100 adds)]} 0 55
INFO  - 2015-03-27 10:10:09.808; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440052, 2440054, 2440056, 2440057, 2440058, 2440059, 244006, 2440063, 2440064, 2440066, ... (100 adds)]} 0 45
INFO  - 2015-03-27 10:10:09.872; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440193, 2440194, 2440195, 2440196, 2440197, 2440198, 2440199, 24402, 244020, 2440200, ... (100 adds)]} 0 62
INFO  - 2015-03-27 10:10:09.933; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440304, 2440305, 2440306, 2440307, 2440308, 2440309, 244031, 2440310, 2440311, 2440312, ... (100 adds)]} 0 59
INFO  - 2015-03-27 10:10:09.979; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440417, 2440418, 2440419, 244042, 2440420, 2440421, 2440422, 2440423, 2440424, 2440425, ... (100 adds)]} 0 44
